screen_name,twitter_id,block,final_rank,block_rank,enhanced_score,hits_hub_score,cluster_score,pattern_score,# of Projects Followed,Avg Position
Edigius,82034970,authority,37,37,980.2127681835284,7.092884385507762,27.359357482231204,54.05,38,459.5
umberyaqub,2959793953,authority,38,38,978.1189369955894,10.185769989548724,27.359357482231204,62.55,42,374.5
budavlebac1,603031543,authority,39,39,978.0942767579123,10.304553265814246,26.058903819966986,58.779999999999994,61,412.2
ghostynfter,2540980508,authority,40,40,977.1894422264537,15.128526302664067,27.359357482231204,60.760000000000005,77,392.4
0x_danf,42040095,authority,41,41,976.9678936844657,6.337835269150303,25.50984564935788,52.45,47,475.5
xurbnerva,2944837610,authority,42,42,976.3879159470987,15.788558464867474,27.359357482231204,77.24,34,227.6
Brad_Laurie,2156102767,authority,43,43,975.5059131437374,1.6915020432697363,26.425320191376763,63.23,44,367.7
Eloisechou,313717396,authority,44,44,975.1432566810854,6.460463972229488,26.058903819966986,60.36,36,396.4
cocents,776159869,authority,45,45,974.5722767822703,6.061346834795871,26.425320191376763,60.61,41,393.9
peaceofheav1,3019552068,authority,46,46,974.508595766729,8.975941946761939,26.058903819966986,78.38,32,216.2
Oxgiddy,551819487,authority,47,47,973.2750953907519,4.4670885819762995,26.61943538020408,59.760000000000005,70,402.4
HeraldXhafa,399529326,authority,48,48,971.2144224888095,3.6512371086054074,26.61943538020408,58.85,64,411.5
0xKimberly,4071006503,authority,50,50,970.4818139697323,9.104190542596609,25.50984564935788,64.34,36,356.6
MarkELtash,2534781030,authority,51,51,970.4631245704161,10.634111915771083,27.359357482231204,85.78,29,142.2
DD09FL,2239845984,authority,52,52,970.1961589242937,5.980027922106186,26.425320191376763,62.48,37,375.2
Silvershad6w,1662271196,authority,53,53,969.2766445578784,5.650104854306493,26.425320191376763,60.25,41,397.5
chrisleao,106170902,authority,54,54,969.1585991394571,5.387256295099919,26.058903819966986,54.81,41,451.9
ladycryptook,210630683,authority,55,55,968.5049415288255,6.567855890676692,26.058903819966986,54.56,55,454.4
The_Babylonians,259780392,authority,56,56,966.7342172918524,5.849596651726583,27.359357482231204,49.17,38,508.3
deficorner,1192441074,authority,57,57,966.306317891287,5.563219922132524,26.425320191376763,62.79,36,372.1
CosmonautJay,9532092,authority,58,58,966.11609790418,3.090777712803249,26.425320191376763,55.6,40,444.0
0xnikceth,2832655858,authority,59,59,965.2771178434276,5.1979881282413585,26.425320191376763,60.629999999999995,42,393.7
0xSinten,79433646,authority,60,60,964.4702934567665,6.397231329905977,26.425320191376763,67.67999999999999,31,323.2
0xRyUnknown,2758707635,authority,61,61,964.0501596809361,8.185246643149293,27.359357482231204,57.45,45,425.5
jbrukh,14592709,authority,62,62,963.3433748631571,3.337468607738683,25.50984564935788,56.39,33,436.1
SnailPrincessCh,2201834317,authority,63,63,963.3307076852723,5.564323664108271,26.425320191376763,58.989999999999995,47,410.1
turbahn,829946137,authority,64,64,963.0231518866774,4.604035300752866,26.058903819966986,53.69,47,463.1
seb_160,2787015358,authority,65,65,962.906488902287,12.055649598449076,26.058903819966986,54.8,62,452.0
applepie493,1917404389,authority,66,66,961.0864642452487,15.247560425281739,26.058903819966986,63.779999999999994,63,362.2
MylesOneil,273451005,authority,67,67,960.7936152364994,6.7220048812592275,25.50984564935788,58.4,34,416.0
aronlee_15,706778485,authority,68,68,960.3431144220219,4.59339979124414,26.058903819966986,53.379999999999995,37,466.2
narutu0x,346401664,authority,69,69,960.0374151656347,6.170621785967551,27.359357482231204,50.11,39,498.9
stephenlee0,178615784,authority,70,70,959.4621465557703,5.335742735803315,26.058903819966986,45.629999999999995,40,543.7
basche42,865427900,authority,71,71,959.1218576288094,6.068123090562585,25.50984564935788,55.279999999999994,36,447.2
Vikcyter_2,1497149952421613571,authority,72,72,958.7795814389644,39.58500656542894,27.359357482231204,83.27000000000001,69,167.3
